Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U8         ASE-8.000MHZ-LC-T    708.032mil       3636mil        710mil       3636mil    666.693mil    3603.52mil  T        360.00 ASE-8.000MHZ-LC-T
R9Y        RES_0805              2104mil   2750.346mil       2104mil   2750.346mil       2104mil   2711.961mil  T         90.00 RR1220P-103-D  
C5X        RES_0603               142mil   2754.228mil        142mil   2754.228mil        142mil   2720.764mil  T         90.00 06035G104ZAT2A 
C5Y        RES_0603              1770mil       2755mil       1770mil       2755mil       1770mil   2721.535mil  T         90.00 06035G104ZAT2A 
C6X        RES_0603               560mil   2754.228mil        560mil   2754.228mil        560mil   2720.764mil  T         90.00 06035G104ZAT2A 
C6Y        RES_0603              2181mil       2755mil       2181mil       2755mil       2181mil   2721.535mil  T         90.00 06035G104ZAT2A 
U3         LM4132CQ1MFT2.5   2001.402mil    937.181mil       1964mil        886mil       1964mil        886mil  T         90.00 LM4132CQ1MFT2.5
R37        P0915NEC15BR100K   1171.265mil   2228.284mil    1072.84mil   2080.644mil    1072.84mil   2080.644mil  T          0.00 POT            
R38        P0915NEC15BR100K   1171.265mil   1599.606mil    1072.84mil   1451.966mil    1072.84mil   1451.966mil  T          0.00 POT            
U2_EX      ENC5                354.33mil   2332.677mil    255.905mil   2047.244mil    255.905mil   2047.244mil  T         90.00 PEC11L-4120F-S0020
U2_EY      ENC5              1988.189mil   2332.677mil   1889.764mil   2047.244mil   1889.764mil   2047.244mil  T         90.00 PEC11L-4120F-S0020
C38        RES_0603               213mil       3107mil        213mil       3107mil    246.465mil       3107mil  T        180.00 06035G104ZAT2A 
C39        RES_0603               261mil       3321mil        261mil       3321mil    227.535mil       3321mil  T        360.00 CL10A105KA8NNNC
C40        RES_0603              1504mil       2119mil       1504mil       2119mil       1504mil   2085.535mil  T         90.00 06035G104ZAT2A 
C41        RES_0603               110mil       3542mil        110mil       3542mil        110mil   3575.465mil  T        270.00 CL10A105KA8NNNC
C42        RES_0603              1501mil       1505mil       1501mil       1505mil       1501mil   1471.535mil  T         90.00 06035G104ZAT2A 
D4         SOT23                  389mil       3658mil        389mil       3658mil    426.402mil   3702.291mil  T        270.00 SCHOTTKY DIODE ARRAY
R29        RES_0603               213mil       2983mil        213mil       2983mil    246.465mil       2983mil  T        180.00 RR1220P-103-D  
R30        RES_0603               213mil       3045mil        213mil       3045mil    179.535mil       3045mil  T        360.00 RR0816P-102-D  
R31        RES_0603               112mil       3283mil        112mil       3283mil        112mil   3316.465mil  T        270.00 RR0816P-104-D  
R32        RES_0603               114mil       3018mil        114mil       3018mil        114mil   3051.465mil  T        270.00 RR0816P-104-D  
R33        RES_0603              1318mil    744.465mil       1318mil    744.465mil       1318mil        711mil  T         90.00 ERA-3AEB393V   
R34        RES_0603               354mil       3214mil        354mil       3214mil        354mil   3247.465mil  T        270.00 RR0816P-104-D  
R35        RES_0603               417mil       3214mil        417mil       3214mil        417mil   3247.465mil  T        270.00 RR0816P-104-D  
R36        RES_0603              1433mil    744.465mil       1433mil    744.465mil       1433mil        711mil  T         90.00 ERA-3AEB393V   
R39        RES_0603               351mil       3508mil        351mil       3508mil        351mil   3541.465mil  T        270.00 RR1220P-103-D  
R40        RES_0603               414mil       3508mil        414mil       3508mil        414mil   3541.465mil  T        270.00 RR1220P-103-D  
S1         E_SWITCH           344.488mil   1746.047mil    255.905mil       1874mil    255.905mil       1874mil  T          0.00 TL1105SPF250Q  
S2         E_SWITCH          1978.347mil   1746.047mil   1889.764mil       1874mil   1889.764mil       1874mil  T          0.00 TL1105SPF250Q  
TP5        Test_Point_Mt_Hole         73mil       3407mil         73mil       3407mil         73mil       3407mil  T         90.00 loop test point
TP8        Test_Point_Mt_Hole       1642mil       2078mil       1642mil       2078mil       1642mil       2078mil  T         90.00 loop test point
TP11       Test_Point_Mt_Hole       1633mil       1540mil       1633mil       1540mil       1633mil       1540mil  T         90.00 loop test point
TP10       Test_Point_Mt_Hole        530mil       3415mil        530mil       3415mil        530mil       3415mil  T         90.00 loop test point
U9         SOT-23-8               233mil       3212mil        233mil       3212mil    188.709mil   3250.386mil  T          0.00 OPA2337EA/3K   
U10        SOT-23-8               229mil       3547mil        229mil       3547mil    273.291mil   3508.614mil  T        180.00 OPA2337EA/3K   
C43        RES_0603          1716.535mil   4042.323mil   1716.535mil   4042.323mil   1716.535mil   4075.787mil  T        270.00 CL10B103KB8NCNC
D5         SOT23-6L              1981mil       3700mil       1981mil       3700mil    2030.21mil     3662.6mil  T        180.00 USBLC6-2SC6    
J5         10118193-0001LF   2207.343mil       3710mil       2260mil       3710mil   2154.685mil   3658.819mil  T         90.00 10118193-0001LF
L3         RES_0603          1815.071mil   4006.937mil   1815.071mil   4006.937mil   1781.606mil   4006.937mil  T          0.00 FERRITE BEAD   
R41        RES_0603              1709mil       3656mil       1709mil       3656mil   1742.465mil       3656mil  T        180.00 CRGCQ0603J22R  
R42        RES_0603              1709mil       3718mil       1709mil       3718mil   1742.465mil       3718mil  T        180.00 CRGCQ0603J22R  
R43        RES_0603              1998mil       3805mil       1998mil       3805mil   1964.535mil       3805mil  T        360.00 RR0816P-104-D  
R44        RES_0603          1815.071mil   3881.937mil   1815.071mil   3881.937mil   1848.535mil   3881.937mil  T        180.00 RR0816P-102-D  
R45        RES_0603          1680.071mil   3881.937mil   1680.071mil   3881.937mil   1713.535mil   3881.937mil  T        180.00 A121524CT-ND   
R46        RES_0805              2010mil       1324mil       2010mil       1324mil       2010mil   1362.386mil  T        270.00 RR1220P-103-D  
MH1        M2_P                   200mil   3992.914mil        200mil   3992.914mil        200mil   3992.914mil  T          0.00 MH             
MH2        M2_P               2142.52mil   3992.914mil    2142.52mil   3992.914mil    2142.52mil   3992.914mil  T          0.00 MH             
MH3        M2_P                   374mil       1428mil        374mil       1428mil        374mil       1428mil  T          0.00 MH             
MH4        M2_P                  2039mil        674mil       2039mil        674mil       2039mil        674mil  T          0.00 MH             
TP16       Test_Point_Mt_Hole       1922mil       1407mil       1922mil       1407mil       1922mil       1407mil  T         90.00 loop test point
TP6        Test_Point_Mt_Hole       1605mil       2708mil       1605mil       2708mil       1605mil       2708mil  T          0.00 loop test point
TP17       Test_Point_Mt_Hole       1922mil       1508mil       1922mil       1508mil       1922mil       1508mil  T         90.00 loop test point
TP19       Test_Point_Mt_Hole       1417mil        897mil       1417mil        897mil       1417mil        897mil  T         90.00 loop test point
TP7        Test_Point_Mt_Hole       1605mil       2558mil       1605mil       2558mil       1605mil       2558mil  T          0.00 loop test point
TP1        Test_Point_Mt_Hole        215mil       3830mil        215mil       3830mil        215mil       3830mil  T          0.00 loop test point
TP9        Test_Point_Mt_Hole        221mil       3720mil        221mil       3720mil        221mil       3720mil  T          0.00 loop test point

